T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
5277, -448, -644, -368, -220150, -456820, -75250
5297, -453, -700, -387, -190470, -438550, -42070
5317, -452, -722, -373, -159460, -361060, -61460
5337, -463, -741, -355, -134960, -263830, -96320
5357, -471, -776, -363, -115150, -201670, -102830
5377, -496, -839, -405, -92260, -194110, -66780
5397, -515, -883, -435, -68880, -202930, -11550
5417, -525, -891, -432, -35910, -197680, 28560
5437, -523, -895, -438, 14700, -182840, 45850
5457, -508, -893, -446, 70420, -171710, 52150
5477, -502, -893, -441, 112700, -146510, 52010
5497, -528, -928, -449, 115710, -85050, 52220
5517, -585, -1012, -479, 78260, -1820, 64750
5537, -638, -1109, -536, 48510, 49350, 94290
5557, -678, -1198, -593, 78750, 31150, 133350
5577, -695, -1249, -628, 150290, -15890, 165270
5597, -704, -1248, -615, 196350, -16170, 172200
5617, -696, -1212, -587, 181300, 47180, 164500
5637, -673, -1159, -562, 140280, 108570, 170380
5657, -642, -1094, -529, 124040, 125930, 196280
5677, -613, -1025, -498, 132510, 119980, 227290
5697, -604, -993, -487, 147840, 117320, 254660
5717, -629, -1025, -521, 159810, 124880, 278740
5737, -665, -1069, -558, 157850, 154560, 289520
5757, -671, -1058, -543, 150150, 218470, 267890
5777, -646, -993, -491, 145740, 299880, 222040
5797, -612, -928, -447, 142660, 351960, 196490
5817, -605, -893, -442, 137270, 348810, 218470
5837, -591, -857, -431, 127750, 320880, 263830
5857, -593, -846, -466, 119630, 305130, 290430
5877, -539, -723, -400, 125860, 304640, 288190
5897, -473, -590, -318, 177380, 337820, 222740
5917, -425, -513, -282, 238700, 369950, 151550
5937, -404, -466, -256, 269500, 372470, 131810
5957, -395, -449, -248, 275170, 369460, 142660
5977, -422, -471, -256, 264670, 373450, 161280
5997, -443, -511, -277, 249340, 374920, 180460
6017, -448, -534, -272, 274050, 344470, 174930
6037, -492, -634, -331, 287210, 316470, 175210
6057, -523, -714, -365, 300790, 302680, 163450
6077, -559, -810, -395, 309330, 289940, 158480
6097, -655, -1003, -476, 281190, 279720, 179760
6117, -731, -1169, -552, 208390, 283710, 209230
6137, -778, -1234, -588, 144620, 283570, 226870
6157, -686, -1080, -501, 113540, 250040, 244580
6177, -599, -919, -393, 132510, 186690, 256830
6197, -566, -879, -398, 124040, 123410, 292950
6217, -613, -945, -451, 83930, 112350, 312340
6237, -608, -942, -444, 61880, 149380, 277480
6257, -597, -945, -437, 57050, 182350, 230510
6277, -646, -1031, -483, 47740, 196910, 204680
6297, -753, -1218, -573, -2030, 243600, 179970
6317, -789, -1305, -581, -36820, 272440, 143710
6337, -737, -1235, -536, -22960, 210350, 152600
6357, -706, -1143, -521, -36540, 110740, 220080
6377, -669, -1059, -514, -82530, 75740, 253190
6397, -626, -971, -458, -97860, 113120, 198590
6417, -546, -842, -364, -62510, 150430, 105280
6437, -484, -735, -296, -19040, 139090, 59990
6457, -461, -691, -283, -22610, 101500, 76230
6477, -473, -697, -302, -63490, 79730, 108080
6497, -491, -726, -322, -101780, 80780, 113120
6517, -510, -757, -330, -113750, 91770, 84210
6537, -505, -744, -310, -93940, 86940, 42490
6557, -488, -723, -301, -60130, 53690, 14140
6577, -477, -711, -303, -43120, 12180, 5250
6597, -465, -693, -297, -46620, -7070, -5670
6617, -462, -675, -280, -60620, -7630, -23240
6637, -453, -648, -264, -74270, -18620, -31920
6657, -439, -619, -257, -80920, -56210, -21700
6677, -430, -598, -258, -82320, -106400, -2380
